reference,comparison,n_paired_folds,mean_RMSE_difference_reference_minus_comparison,wilcoxon_W,p_value,cohen_dz,bootstrap95_low,bootstrap95_high,holm_p,significant_0.05
DINOv3 ViT-S/16,DINOv2-Small,18,-26.913679951729364,37.0,0.03423309326171875,-0.3027567931810421,-67.13654623187125,12.422629691277507,0.10269927978515625,False
DINOv3 ViT-S/16,EfficientNet-B0,18,-19.253344983413047,46.0,0.0897674560546875,-0.33618183759525705,-45.404906178668,5.182991112795583,0.179534912109375,False
DINOv3 ViT-S/16,ConvNeXt-Tiny,18,-9.250531891274747,54.0,0.18146514892578125,-0.2382319222290305,-25.734698440506723,8.76898499980606,0.18146514892578125,False
