repeat,variant,RMSE,MAE,R2,NRMSE,sMAPE
0,Full CMGT-DINO,314.48874394264345,235.6653270760594,0.42497461101949585,0.17079897894000015,38.01082819100754
0,Without Concordance,303.017533163833,229.896307936141,0.4661585085815414,0.16456895918265174,37.36750857656701
0,Without Environment Trajectory,310.32735497605586,232.6621247384494,0.44009167081201783,0.16853892671188297,37.67847999443812
0,Without Phenotype Trajectory,316.9441457582257,238.64507258074886,0.41596042366130537,0.17213250877553968,38.26671823731353
0,Image Trajectory Only,348.5111227810801,253.9148638596897,0.2938286482392969,0.18927654826049276,38.361191798691195
1,Full CMGT-DINO,361.4220322931575,258.2892057269372,0.3664393155459438,0.23163030640319257,41.14588065489717
1,Without Concordance,376.0970486024871,275.40528424223453,0.3139451755197118,0.24103531832965067,42.35557225306169
1,Without Environment Trajectory,356.7153246324238,254.51771825793904,0.3828332696761809,0.2286138435420638,40.83119983904001
1,Without Phenotype Trajectory,355.5085489948375,255.27996404956625,0.387001983026782,0.227840437978157,39.931033776424655
1,Image Trajectory Only,376.9396400257851,285.4914213810451,0.31086771746596753,0.24157532334349252,44.4226711430003
2,Full CMGT-DINO,349.8699135193911,256.39182390788017,0.3362772830682478,0.21572938310481632,43.16246831616076
2,Without Concordance,368.0717994868506,268.26531186578603,0.26542088636611916,0.22695264489261968,43.91504508679181
2,Without Environment Trajectory,353.1445689831544,255.13235379145993,0.32379473140733106,0.2177485318677731,42.81352804039318
2,Without Phenotype Trajectory,341.07161188554335,243.77450396070154,0.36923928863014144,0.21030436051642826,42.21094176960023
2,Image Trajectory Only,371.5783823324577,282.3212921460015,0.25135769264576635,0.22911479981036978,45.70359973394782
3,Full CMGT-DINO,307.11255099528404,234.31822436544272,0.44690944126015597,0.18895280433342196,40.256930575695165
3,Without Concordance,325.00755430070285,255.32614234859722,0.3805760041755082,0.19996281042778918,42.85517696331342
3,Without Environment Trajectory,321.0406762887244,248.1204628880621,0.3956044787536934,0.1975221653861496,41.79639678752174
3,Without Phenotype Trajectory,309.4021817204448,232.72520526535385,0.4386317348705191,0.19036151311137658,40.3687508649731
3,Image Trajectory Only,359.12416152993296,266.960206253193,0.2437065061837611,0.22095325379916386,42.9014968641023
4,Full CMGT-DINO,297.65851205523165,230.7509395374322,0.5084064918820177,0.16298624091334935,35.2055946686772
4,Without Concordance,327.92872417241824,254.3977418650101,0.40333791021976284,0.17956103345183555,37.409650016567426
4,Without Environment Trajectory,296.08318379149557,229.56187617190955,0.5135961427243367,0.16212365233780995,35.07907757013222
