heldout_year,model,train_n,test_n,RMSE,MAE,R2,NRMSE,sMAPE
2023,DINOv3 Static Image ExtraTrees,168,39,237.31722707442103,194.5938346794888,-1.8626475992874267,0.34353970335034895,19.34971038616267
2023,Phenotype-only ExtraTrees,168,39,190.54696207937027,150.38280135531164,-0.8454973087582649,0.2758352085688626,15.1617345086134
2023,Environment-only ExtraTrees,168,39,465.60368348935833,443.9739652421631,-10.018999740555014,0.6740064902856954,51.90694081181613
2023,Static Early Fusion ExtraTrees,168,39,459.7285721396589,436.7072672649572,-9.74267284282918,0.665501696785841,50.90959534145304
2023,Static Early Fusion XGBoost,168,39,223.71026909817218,188.5578771033654,-1.5437896641229156,0.3238423119545052,18.809634989260445
2023,Static Early Fusion CatBoost,168,39,288.6061375093356,244.97187674570458,-3.233703923076864,0.4177853756649329,25.76949612526644
2023,Static Early Fusion HistGB,168,39,193.77399943351048,156.94795198109236,-0.9085360340594233,0.28050665812610087,15.506849012538643
2023,Trajectory Fusion ExtraTrees,168,39,249.75771491282742,208.50401418803352,-2.17064181224479,0.36154851608689553,21.293346205723957
2023,CMGT-DINO,168,39,391.6352158166212,359.5961701126913,-6.7960179641949585,0.5669299592018258,40.061727954518055
2024,DINOv3 Static Image ExtraTrees,99,108,660.3687233025529,602.0942311884422,-5.22798643846471,0.5770032882204608,77.46377198711915
2024,Phenotype-only ExtraTrees,99,108,469.04368120432764,376.9989850308643,-2.1419642984497247,0.4098312606636443,58.72283731694373
2024,Environment-only ExtraTrees,99,108,849.0500616224075,806.7623484405485,-9.295353480113484,0.7418653551153428,90.18910958087473
2024,Static Early Fusion ExtraTrees,99,108,519.1432893819089,431.3701413734576,-2.84901103039055,0.45360625732377047,63.459277038130296
2024,Static Early Fusion XGBoost,99,108,482.96711473552847,372.8388530476888,-2.331269647586015,0.4219969896682585,57.832429406106584
2024,Static Early Fusion CatBoost,99,108,496.5246519658189,403.9745647756368,-2.520921138902705,0.4338430133910762,60.92710867043523
2024,Static Early Fusion HistGB,99,108,509.00268144749106,401.5090169056018,-2.7001114628368614,0.4447458072203018,60.686562438181255
2024,Trajectory Fusion ExtraTrees,99,108,454.7071595112884,357.55276629629657,-1.952828686289453,0.39730459205166396,56.71268594201552
2024,CMGT-DINO,99,108,455.56690901095635,360.8761007018096,-1.9640055194784454,0.3980558061398682,57.19174847990951
2025,DINOv3 Static Image ExtraTrees,147,60,590.6293306531754,528.9724413681316,-0.17532468840561832,0.27794321442502373,64.67785618145976
2025,Phenotype-only ExtraTrees,147,60,672.5560968780193,587.2936103174604,-0.5239996471752923,0.3164969867661267,73.90536493459756
2025,Environment-only ExtraTrees,147,60,561.2569800674357,485.47664700284815,-0.06133221981448078,0.26412093179644036,57.12654315086174
2025,Static Early Fusion ExtraTrees,147,60,559.444331897946,493.0223849027777,-0.05448788517125447,0.26326792089315104,58.901304458708985
2025,Static Early Fusion XGBoost,147,60,601.1082212994074,541.9043524169922,-0.2173996541384413,0.2828744570820741,66.48572220979983
2025,Static Early Fusion CatBoost,147,60,607.8811020114725,540.2532968048973,-0.2449878773173706,0.28606169506422235,66.87479809482615
2025,Static Early Fusion HistGB,147,60,627.2516658891706,564.40452757627,-0.32559691662199564,0.2951772545360803,71.35270292270259
2025,Trajectory Fusion ExtraTrees,147,60,616.921710603752,542.9726153611114,-0.2822949935771455,0.290316099107648,67.05766764092999
2025,CMGT-DINO,147,60,648.8135745422658,567.7689232882494,-0.41829866369957425,0.3053240350787133,71.00049092521844
