baseline,CMGT_minus_baseline_RMSE,wilcoxon_W,p_value,cohen_dz,bootstrap95_low,bootstrap95_high,holm_p,significant_0.05
DINOv3 Static Image ExtraTrees,-25.71673061102907,18.0,0.0004825592041015625,-0.9627790415279749,-36.806925039265316,-14.49746192837772,0.0038604736328125,True
Environment-only ExtraTrees,-18.430868602228692,43.0,0.01923370361328125,-0.5845624199467482,-31.397991839395473,-5.0599314804698485,0.085906982421875,False
Phenotype-only ExtraTrees,-22.307920489634704,42.0,0.017181396484375,-0.6070721068178557,-36.67101607348452,-6.64010497089807,0.085906982421875,False
Static Early Fusion CatBoost,-15.521179377036091,55.0,0.06372261047363281,-0.5197691970459403,-27.236423043486248,-2.197447803449657,0.15950775146484375,False
Static Early Fusion ExtraTrees,-10.92777226740497,53.0,0.05316925048828125,-0.370412298613698,-22.402189467144407,2.2097290198138193,0.15950775146484375,False
Static Early Fusion HistGB,-31.492970194567,20.0,0.0007076263427734375,-0.9421718598335923,-44.07861821666107,-16.768051846146072,0.0049533843994140625,True
Static Early Fusion XGBoost,-28.658985374656027,22.0,0.0010166168212890625,-0.9409164147992111,-40.54828895720534,-15.358302373959345,0.006099700927734375,True
Trajectory Fusion ExtraTrees,0.9839503341163933,104.0,0.9854354858398438,0.05592798880943339,-5.930114605048598,8.726641323370606,0.9854354858398438,False
