model,RMSE_mean,RMSE_std,MAE_mean,R2_mean,NRMSE_mean,sMAPE_mean
Trajectory Fusion ExtraTrees,337.5350719794916,46.83206000256668,251.2707554013889,0.3300773021988531,0.21031309213896857,42.231321052827575
CMGT-DINO,338.51902231360793,43.05367989900572,250.01055610392373,0.3237243639380016,0.21128526024599475,41.500015769122015
Static Early Fusion ExtraTrees,349.44679458101297,38.269160073416636,260.63033093154763,0.283852585855331,0.21723530407342664,43.607583377826
Static Early Fusion CatBoost,354.04020169064404,42.116421914657145,266.72506775448494,0.26315357235277104,0.2203197352957867,43.98708471390813
Environment-only ExtraTrees,356.94989091583665,39.97676596761611,274.4231690483083,0.2578502610456993,0.22160593882864482,43.35790373855652
Phenotype-only ExtraTrees,360.8269428032427,42.11394729923659,277.3822598372732,0.24284840843289013,0.22364783699964522,44.74410085400286
DINOv3 Static Image ExtraTrees,364.23575292463704,40.15416120882121,268.5365475913711,0.21963230418659657,0.22653765899945877,43.17463249299718
Static Early Fusion XGBoost,367.178007688264,45.02092968117484,276.55467840430845,0.2084090925142566,0.22813411517156265,45.569698283537164
Static Early Fusion HistGB,370.01199250817496,41.54491863516642,277.0319153316061,0.19308228519902942,0.23010920973519178,46.4155705581146
