repeat,model,RMSE,MAE,R2,NRMSE,sMAPE
0,DINOv3 Static Image ExtraTrees,358.2686647386512,257.49476621253314,0.2537326198324452,0.19457587370668838,40.39963053824345
0,Phenotype-only ExtraTrees,359.8228253220692,286.1392356587302,0.24724399777236017,0.19541993902180504,44.48774591831734
0,Environment-only ExtraTrees,356.7687913736151,273.437441771157,0.2599679606083134,0.19376129180440516,41.1915468778532
0,Static Early Fusion ExtraTrees,336.52244956822,249.46922287698413,0.34157715417434575,0.18276549442139164,42.77065499116951
0,Static Early Fusion XGBoost,355.6165904933875,273.4775802612304,0.26474017570582753,0.19313553098572053,45.37734630645555
0,Static Early Fusion CatBoost,342.9867103149884,259.80981932658676,0.31603891264109985,0.18627623735389967,43.11225203327937
0,Static Early Fusion HistGB,341.66044650835016,260.7888005757589,0.3213181785276965,0.18555594288122945,45.015762969454194
0,Trajectory Fusion ExtraTrees,293.53274235673445,221.21508357142852,0.4990551541581334,0.15941776500952295,38.10701024551516
0,CMGT-DINO,296.6876659970696,227.64564693884702,0.48822885850230613,0.16113120546417145,38.023501875258056
1,DINOv3 Static Image ExtraTrees,358.49989179109934,263.2574101393172,0.37664272853607517,0.2297575475800783,43.01676398627176
1,Phenotype-only ExtraTrees,349.98713222873914,274.86832211507914,0.4058951107805594,0.22430183948930307,44.80640200210819
1,Environment-only ExtraTrees,353.1765910883142,267.57621696961456,0.3950175270801215,0.22634591889480127,42.995759120747074
1,Static Early Fusion ExtraTrees,310.02602440843583,229.73302624999997,0.5338182428991091,0.19869132651116797,40.62351193059697
1,Static Early Fusion XGBoost,345.2634907714292,259.27090526762464,0.4218236989683577,0.22127452399568634,42.60340781325997
1,Static Early Fusion CatBoost,322.02583299064196,244.9311465381566,0.49703195187454974,0.20638183536321697,40.54853404166403
1,Static Early Fusion HistGB,316.4334707613968,239.5299583566809,0.5143495431705344,0.20279776892305318,42.63966296642016
1,Trajectory Fusion ExtraTrees,360.9294827114885,264.0413236111109,0.36816498461389335,0.2313146382913266,45.014771696183814
1,CMGT-DINO,379.24983225353697,272.84397062198997,0.30239470749937103,0.24305589310889741,42.480350977484235
2,DINOv3 Static Image ExtraTrees,360.82781087052973,260.0724018083561,0.2940507292186908,0.22248600990907,43.112582068791916
2,Phenotype-only ExtraTrees,377.0942545655007,294.23756848072566,0.22896637529207609,0.2325158802352329,47.90349248979258
2,Environment-only ExtraTrees,373.0387635550368,292.98324486012746,0.24546148513793042,0.23001526917932963,47.33628039098581
2,Static Early Fusion ExtraTrees,344.923933870596,258.7840525000001,0.3549102398224857,0.21267969778677764,43.79197872765301
2,Static Early Fusion XGBoost,352.72489511811204,265.67746820358997,0.32540096907515426,0.21748976144907636,45.55920325396325
2,Static Early Fusion CatBoost,332.5051906737644,259.8571866225132,0.40052600851350795,0.2050223151274907,44.02024443027508
2,Static Early Fusion HistGB,344.82054454280245,259.1047510873947,0.3552969071094271,0.21261594804710968,44.758596122732996
2,Trajectory Fusion ExtraTrees,361.24420710656193,254.4761551984127,0.29242045448641607,0.22274275934551852,42.840089209667696
2,CMGT-DINO,357.1874722335014,263.54237252877743,0.30822331063345443,0.22024138132538007,43.455372083663214
3,DINOv3 Static Image ExtraTrees,381.52952426985775,278.0244887340273,0.14639408411165078,0.23473828507872677,44.121858537413715
3,Phenotype-only ExtraTrees,367.3585554383476,285.2617770952379,0.2086266309864535,0.22601951311008628,47.45607596930549
3,Environment-only ExtraTrees,364.9670056016508,271.6116279856839,0.21889696912951861,0.22454809799897302,42.887613947674446
3,Static Early Fusion ExtraTrees,334.9302589284388,261.0265761309522,0.34217574183474697,0.20606781284435183,43.68770338490509
3,Static Early Fusion XGBoost,350.7820189252644,266.9485477701823,0.2784344988426718,0.2158207014687785,44.0222908622228
3,Static Early Fusion CatBoost,330.7774067726584,250.6956288912062,0.3583875382904409,0.20351274611629472,41.676441188660725
3,Static Early Fusion HistGB,369.8799093575948,290.4515036384529,0.19772621902443566,0.2275707909468756,46.432072220225265
3,Trajectory Fusion ExtraTrees,311.61010074156695,240.1222469444444,0.4305912091603983,0.1917199482825544,41.4627139928636
3,CMGT-DINO,308.15453975359424,236.89534974833592,0.4431499607817051,0.18959389404899543,40.68441839655653
4,DINOv3 Static Image ExtraTrees,377.5164282492413,291.5510190952399,0.2092462922253977,0.20671333434590605,43.051486837701106
4,Phenotype-only ExtraTrees,364.934909092627,294.68120714285726,0.261075026530746,0.19982418308946437,44.97669616071886
4,Environment-only ExtraTrees,377.5279484256657,296.0492555757958,0.2091980306900928,0.20671964234710216,42.281417275740154
4,Static Early Fusion ExtraTrees,351.00302395615205,276.7176339484128,0.3164170182303817,0.19219562386717923,42.349044680657805
4,Static Early Fusion XGBoost,368.4272252971216,297.4138857014974,0.24686478147005708,0.2017364398105009,46.37652840004982
4,Static Early Fusion CatBoost,337.51072930998146,269.91205033277976,0.3679598129351983,0.18480776732482504,42.06447479691072
4,Static Early Fusion HistGB,389.42038229371303,312.85697124100807,0.158591521875868,0.21323147726181804,48.004478473803445
4,Trajectory Fusion ExtraTrees,323.1973478323871,255.92259119047634,0.42043106028289556,0.1769703155224758,38.60861847911802
4,CMGT-DINO,325.15943879163393,246.94794449312957,0.41337271785358876,0.17804468032921236,36.6419712997171
5,DINOv3 Static Image ExtraTrees,368.08436543668984,255.31603444994138,-0.002259246982438956,0.2402702194813767,38.748453784064026
5,Phenotype-only ExtraTrees,333.5340337789863,255.7403685079365,0.1770647952421549,0.21771719482165744,42.17204273661268
5,Environment-only ExtraTrees,320.443995772671,239.5507029654237,0.240391865404041,0.20917256049287902,37.349520639366055
5,Static Early Fusion ExtraTrees,345.11650214169833,252.55060438492052,0.11891708081764285,0.22527775016429824,40.42817670727215
5,Static Early Fusion XGBoost,354.2673008891204,269.30972156343006,0.07157363063403466,0.23125101235614534,43.83750657651753
5,Static Early Fusion CatBoost,346.4671946432162,263.445712856195,0.11200694528571842,0.22615942625343755,43.0215439531194
5,Static Early Fusion HistGB,367.4122624239924,273.20659689585835,0.001397558487312156,0.2398314984882062,45.5772036476025
5,Trajectory Fusion ExtraTrees,332.4283372808225,246.8021756746032,0.18251196556283567,0.21699544197030113,38.249974711668
5,CMGT-DINO,304.09838203166066,227.1516555231617,0.31590951668832523,0.198502821243153,36.17308712322052
6,DINOv3 Static Image ExtraTrees,353.6253038355295,263.2470607887713,0.08462395408040835,0.2430247432035802,37.52678151636442
