block,baseline_RMSE,RMSE_increase_mean,RMSE_increase_std
concordance,296.6876659970696,47.758343510073175,13.328641097394831
phenotype_trajectory,296.6876659970696,39.484700295963314,8.624382302105877
environment_trajectory,296.6876659970696,36.070179969120645,11.669873356161911
image_trajectory,296.6876659970696,14.143905229481337,6.166228865166305
meta_reliability,296.6876659970696,2.1194941318735117,2.602541682028095
